,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,0,ZA,1538764267,80,-33.59,26.89,68.09,13.33
1,Punta Arenas,75,CL,1538762400,53,-53.16,-70.91,51.8,20.8
2,Rikitea,88,PF,1538764271,100,-23.12,-134.97,71.87,14.23
3,Saskylakh,0,RU,1538764257,88,71.97,114.09,26.42,10.98
4,Khatanga,32,RU,1538764280,91,71.98,102.47,34.07,10.42
5,Hermanus,8,ZA,1538764282,54,-34.42,19.24,64.67,3.15
6,Husavik,92,CA,1538764284,100,50.56,-96.99,35.51,6.62
7,San Vicente,75,SV,1538761800,54,13.64,-88.78,84.2,10.29
8,Vao,0,EE,1538764290,92,59.1,26.19,48.56,10.87
9,Tautira,20,PF,1538762400,65,-17.73,-149.15,78.8,3.36
10,Ouro Preto do Oeste,44,BR,1538764294,58,-10.75,-62.22,89.42,2.71
11,Albany,20,US,1538762040,42,42.65,-73.75,62.96,5.82
12,Ushuaia,75,AR,1538762400,61,-54.81,-68.31,48.2,14.99
13,Atuona,64,PF,1538764254,100,-9.8,-139.03,77.09,9.86
14,Fortuna,20,ES,1538762400,60,38.18,-1.13,73.4,4.7
15,Ende,0,ID,1538764305,100,-8.84,121.65,78.53,4.16
16,Davila,0,PH,1538764307,98,18.47,120.58,77.18,4.27
17,Butaritari,56,KI,1538764334,100,3.07,172.79,83.93,8.41
18,Kavaratti,92,IN,1538764311,100,10.57,72.64,80.24,2.15
19,Sawakin,0,SD,1538758800,55,19.1,37.33,89.6,4.7
20,Kavieng,20,PG,1538764242,100,-2.57,150.8,82.49,4.83
21,Cape Town,0,ZA,1538762400,88,-33.93,18.42,62.6,13.87
22,El Tigre,8,VE,1538764319,55,8.89,-64.25,90.41,11.1
23,Srednekolymsk,92,RU,1538764322,88,67.46,153.71,32.0,9.42
24,Dudinka,92,RU,1538764326,92,69.41,86.18,44.06,30.33
25,Astorga,0,ES,1538762400,30,42.46,-6.05,69.8,3.36
26,Skjervoy,75,NO,1538760000,86,70.03,20.97,30.2,9.17
27,Alofi,48,NU,1538764335,96,-19.06,-169.92,77.72,10.98
28,Tuktoyaktuk,75,CA,1538762400,85,69.44,-133.03,24.8,5.82
29,Tecoanapa,40,MX,1538761680,74,16.99,-99.26,87.8,8.05
30,Kapaa,1,US,1538762160,81,22.08,-159.32,82.04,6.93
31,Along,0,IN,1538764351,84,28.17,94.8,62.87,2.15
32,Sitka,48,US,1538764237,61,37.17,-99.65,82.31,13.67
33,Saint George,40,GR,1538761800,72,39.45,22.34,60.8,4.7
34,Cherskiy,88,RU,1538764360,92,68.75,161.3,33.62,8.19
35,Japura,56,ID,1538764362,91,-0.42,102.29,74.93,0.47
36,Hambantota,92,LK,1538764248,100,6.12,81.12,78.8,13.78
37,Hobart,20,AU,1538762400,87,-42.88,147.33,44.6,5.82
38,Luderitz,0,NA,1538764337,81,-26.65,15.16,59.63,2.71
39,Sexsmith,75,CA,1538762400,68,55.35,-118.78,30.2,4.7
40,Urdoma,12,RU,1538764374,85,61.74,48.55,35.24,6.06
41,Port Lincoln,92,AU,1538764319,99,-34.72,135.86,54.77,9.19
42,Yellowknife,75,CA,1538762400,62,62.45,-114.38,24.8,5.82
43,Akranes,20,IS,1538762400,55,64.32,-22.07,33.8,13.87
44,Uvat,56,RU,1538764383,63,59.14,68.9,58.82,8.97
45,Olga,40,US,1538762640,61,34.11,-118.17,75.92,6.93
46,Vaini,56,IN,1538764389,90,15.34,74.49,73.22,4.16
47,Sri Aman,56,MY,1538762400,100,1.24,111.46,73.4,2.04
48,Katsuura,80,JP,1538764394,96,33.93,134.5,74.39,12.33
49,Kununurra,0,AU,1538762400,69,-15.77,128.74,75.2,4.7
50,Kodiak,90,US,1538763600,100,39.95,-94.76,59.0,5.82
51,Georgetown,40,GY,1538762400,59,6.8,-58.16,91.4,13.87
52,Ostrovnoy,80,RU,1538764259,87,68.05,39.51,32.72,16.69
53,Portel,0,PT,1538762400,21,38.31,-7.71,82.4,11.41
54,Iranshahr,0,IR,1538762400,19,27.21,60.69,89.6,9.17
55,Hualmay,12,PE,1538764328,62,-11.1,-77.61,72.77,6.62
56,Nikolskoye,75,RU,1538762400,87,59.7,30.79,51.8,15.66
57,Freeport,20,BS,1538762400,62,26.54,-78.7,87.8,5.82
58,Cabo San Lucas,5,MX,1538761620,62,22.89,-109.91,91.4,3.36
59,Port Macquarie,75,AU,1538762760,100,-31.43,152.91,59.0,12.75
60,Pontal do Parana,90,BR,1538762400,72,-25.67,-48.51,66.2,5.82
61,Catalina,75,CO,1538762400,70,8.86,-75.38,87.8,4.61
62,Vulcana Bai,0,RO,1538764425,66,45.08,25.38,45.95,3.38
63,Nouadhibou,24,MR,1538762400,78,20.93,-17.03,73.4,17.22
64,Naze,76,NG,1538764432,99,5.43,7.07,72.5,3.94
65,Jiupu,0,CN,1538764434,81,41.07,122.95,45.23,2.59
66,Tiksi,0,RU,1538764436,90,71.64,128.87,14.54,3.27
67,Hami,0,CN,1538764262,45,42.84,93.51,41.27,5.06
68,Namibe,76,AO,1538764440,100,-15.19,12.15,67.82,9.75
69,Puerto Ayora,20,EC,1538762400,54,-0.74,-90.35,82.4,17.22
70,Mataura,0,NZ,1538764445,100,-46.19,168.86,36.95,3.27
71,Crotone,75,IT,1538762100,93,39.09,17.12,62.6,3.36
72,Mao,40,DO,1538762400,78,19.55,-71.08,86.0,16.11
73,Pittsburg,1,US,1538762280,56,38.02,-121.89,68.54,3.94
74,Le Port,24,FR,1538764453,49,42.87,1.37,56.84,0.92
75,Bluff,0,AU,1538764456,95,-23.58,149.07,59.81,5.39
76,Pran Buri,92,TH,1538764458,100,12.39,99.9,77.18,3.38
77,Abeche,24,TD,1538764462,65,13.83,20.83,79.43,3.15
78,Hermitage,90,US,1538763420,83,41.23,-80.45,66.2,4.7
79,Novoorsk,75,RU,1538762400,100,51.38,58.98,48.2,11.18
80,Ayagoz,0,KZ,1538764470,41,47.96,80.43,48.02,11.77
81,Ponta do Sol,56,BR,1538764472,63,-20.63,-46.0,83.75,5.06
82,Juneau,90,US,1538762160,96,58.3,-134.42,44.06,16.11
83,Saint-Francois,0,FR,1538762400,49,46.42,3.91,68.0,5.82
84,Ancud,0,CL,1538764478,65,-41.87,-73.83,63.23,1.36
85,Ciudad Bolivar,0,VE,1538764480,64,8.12,-63.55,90.77,9.75
86,Upernavik,0,GL,1538764483,100,72.79,-56.15,20.48,5.61
87,Noumea,0,NC,1538762400,93,-22.28,166.46,62.6,6.4
88,Caconda,92,AO,1538764487,28,-13.73,15.06,75.11,3.27
89,Barrow,64,AR,1538764489,46,-38.31,-60.23,64.67,4.5
90,Maroantsetra,20,MG,1538764492,100,-15.43,49.74,65.48,3.83
91,Strezhevoy,0,RU,1538762400,66,60.73,77.6,53.6,6.71
92,Codrington,92,AU,1538764235,100,-28.95,153.24,59.27,2.59
93,Pisco,40,PE,1538762400,30,-13.71,-76.2,71.6,11.41
94,Aloleng,8,PH,1538764500,100,16.13,119.78,76.28,7.18
95,Boaco,40,NI,1538762400,100,12.47,-85.66,75.2,6.93
96,Kedrovyy,0,RU,1538762400,91,56.17,91.82,35.6,4.16
97,Mangrol,0,IN,1538764509,70,25.33,76.51,72.05,2.71
98,Bredasdorp,32,ZA,1538762400,87,-34.53,20.04,59.0,2.24
99,Jamestown,92,AU,1538764234,75,-33.21,138.6,47.57,7.52
100,Great Yarmouth,0,GB,1538763600,93,52.61,1.73,57.2,4.7
101,Carnarvon,0,ZA,1538764518,20,-30.97,22.13,57.38,3.15
102,Terney,88,RU,1538764520,90,45.05,136.61,58.28,4.27
103,Hilo,90,US,1538762160,81,19.71,-155.08,73.94,3.36
104,Hearst,80,CA,1538764524,61,49.69,-83.67,39.47,4.27
105,New Norfolk,20,AU,1538762400,87,-42.78,147.06,44.6,5.82
106,Qaanaaq,0,GL,1538764530,100,77.48,-69.36,16.61,7.96
107,San Patricio,24,PY,1538764532,56,-26.98,-56.83,72.14,6.17
108,Sibolga,92,ID,1538764241,100,1.74,98.78,70.16,1.48
109,Lokachi,0,UA,1538764366,76,50.74,24.65,47.21,7.4
110,Olinda,90,EC,1538762400,69,-2.03,-79.75,77.0,2.24
111,Alice Springs,0,AU,1538762400,31,-23.7,133.88,60.8,5.82
112,Williston,90,US,1538763300,82,48.15,-103.62,37.94,11.41
113,Mar del Plata,0,AR,1538764545,34,-46.43,-67.52,68.99,8.97
114,Porto Novo,75,BR,1538762400,72,-23.68,-45.44,66.2,18.34
115,Durusu,0,TR,1538762400,31,37.53,40.83,77.0,11.41
116,Port Elizabeth,90,US,1538763120,83,39.31,-74.98,69.8,10.29
117,Leningradskiy,80,RU,1538764556,97,69.38,178.42,36.23,6.62
118,Tasiilaq,92,GL,1538764558,100,65.61,-37.64,33.8,14.67
119,ChengDe,8,CN,1538764560,70,40.97,117.93,47.57,7.63
120,Beringovskiy,92,RU,1538764562,99,63.05,179.32,45.59,22.73
121,Castro,0,CL,1538764564,63,-42.48,-73.76,61.52,3.38
122,Fort Nelson,90,CA,1538758800,68,58.81,-122.69,28.4,6.93
123,Thompson,40,CA,1538762400,43,55.74,-97.86,35.6,3.36
124,North Platte,40,US,1538763540,71,41.12,-100.77,55.94,4.05
125,Kishtwar,0,IN,1538764573,78,33.31,75.77,33.98,2.15
126,Garcia,40,ES,1538762400,83,41.14,0.65,69.8,3.36
127,Hasaki,75,JP,1538762400,100,35.73,140.83,66.2,3.36
128,Victoria,90,BN,1538762400,100,5.28,115.24,78.8,1.12
129,Avera,40,US,1538762100,42,33.19,-82.53,91.94,5.82
130,Puerto Penasco,0,MX,1538764584,97,31.32,-113.53,80.87,4.38
131,Samarai,0,PG,1538764586,100,-10.62,150.67,75.74,9.64
132,Norrtalje,0,SE,1538761800,66,59.76,18.7,51.8,11.41
133,Jawhar,44,IN,1538764593,90,19.91,73.23,74.48,2.48
134,Vostok,44,RU,1538764595,81,46.45,135.83,35.78,1.92
135,Broken Hill,32,AU,1538764598,88,-31.97,141.45,50.81,4.38
136,Tiznit,20,MA,1538764600,84,29.7,-9.73,74.48,3.83
137,Kidal,0,ML,1538764602,20,18.44,1.41,89.24,4.94
138,Napier,68,NZ,1538764606,100,-39.49,176.92,50.99,8.97
139,Iralaya,92,HN,1538764608,100,15.0,-83.23,75.56,11.65
140,Harper,75,US,1538763300,57,30.3,-99.24,84.92,9.17
141,Fare,36,PF,1538764613,100,-16.7,-151.02,77.72,12.44
142,Lebu,0,ET,1538764615,42,8.96,38.73,54.14,6.62
143,Port Hardy,90,CA,1538762400,81,50.7,-127.42,50.0,16.11
144,Portland,90,US,1538762160,86,45.52,-122.67,50.0,10.29
145,Omsukchan,88,RU,1538764621,79,62.53,155.8,24.71,13.11
146,Taltal,0,CL,1538764623,70,-25.41,-70.49,71.06,3.71
147,Chokurdakh,88,RU,1538764626,87,70.62,147.9,29.48,11.54
148,Muswellbrook,56,AU,1538764628,89,-32.27,150.89,53.87,8.97
149,Kraslava,88,LV,1538764630,96,55.9,27.16,53.24,18.03
150,Namatanai,56,PG,1538764632,100,-3.66,152.44,81.41,13.78
151,Ahipara,0,NZ,1538764634,100,-35.17,173.16,44.15,4.38
152,Lima,24,PE,1538764522,67,-12.06,-77.04,70.25,3.04
153,Erzin,0,TR,1538761800,42,36.95,36.2,82.4,16.11
154,North Bend,90,US,1538763300,92,43.41,-124.22,51.8,8.05
155,Busselton,56,AU,1538764645,100,-33.64,115.35,57.29,13.67
156,Muriwai Beach,8,NZ,1538762400,93,-36.82,174.45,53.6,6.93
157,Sioux Lookout,90,CA,1538762400,93,50.1,-91.92,37.4,5.82
158,Dikson,92,RU,1538764651,90,73.51,80.55,41.54,27.31
159,Puerto Escondido,75,MX,1538761500,62,15.86,-97.07,87.8,6.93
160,Marsa Matruh,0,EG,1538764656,76,31.35,27.25,73.94,7.63
161,Saint-Philippe,1,CA,1538762400,43,45.36,-73.48,50.0,4.7
162,Maumere,0,ID,1538764660,100,-8.63,122.22,79.34,2.15
163,Saint-Georges,0,CA,1538764425,51,46.12,-70.67,47.12,3.27
164,Reyes,75,BO,1538762400,57,-14.3,-67.34,80.6,4.7
165,Kasamwa,20,TZ,1538762400,78,-2.84,32.42,75.2,2.37
166,Esperance,20,TT,1538762400,74,10.24,-61.45,84.2,11.41
167,Hithadhoo,80,MV,1538764671,99,-0.6,73.08,83.84,24.52
168,Shaoyang,0,CN,1538764673,76,27.23,111.45,53.06,3.27
169,Jacksonville,40,US,1538763300,55,30.33,-81.66,87.98,5.82
170,Lake Cowichan,90,CA,1538762400,93,48.82,-124.05,48.2,2.24
171,Chuy,0,UY,1538764680,86,-33.69,-53.46,58.37,15.68
172,Idrinskoye,20,RU,1538764682,81,54.37,92.14,32.09,2.15
173,Nemuro,80,JP,1538764684,98,43.32,145.57,60.17,10.09
174,La Ronge,75,CA,1538762400,45,55.1,-105.3,44.6,14.99
175,Yeppoon,75,AU,1538762400,82,-23.13,150.74,66.2,3.36
176,Arraial do Cabo,75,BR,1538762400,73,-22.97,-42.02,73.4,6.93
177,Soyo,0,AO,1538764693,71,-6.13,12.37,78.8,6.85
178,Gagnoa,56,CI,1538764695,91,6.13,-5.95,77.18,4.94
179,Maradi,20,NE,1538762400,49,13.5,7.1,93.2,4.7
180,Beidao,48,CN,1538764699,88,34.57,105.89,42.17,2.82
181,Clyde River,75,CA,1538762400,86,70.47,-68.59,28.4,20.8
182,Borovskoy,48,KZ,1538764704,37,53.8,64.15,58.73,12.66
183,Manicore,8,BR,1538764459,33,-5.81,-61.3,99.59,3.15
184,Havoysund,75,NO,1538763600,86,71.0,24.66,35.6,2.24
185,Bethel,40,US,1538761980,92,60.79,-161.76,41.0,5.82
186,Karratha,0,AU,1538764712,40,-20.74,116.85,72.14,10.76
187,Del Rio,75,US,1538762160,74,29.36,-100.9,82.94,11.41
188,Praia,75,BR,1538762400,51,-20.25,-43.81,86.0,10.29
189,Fairbanks,1,US,1538762280,17,64.84,-147.72,37.94,3.36
190,Bichura,92,RU,1538764723,85,50.59,107.6,29.93,7.63
191,Bellevue,90,US,1538762520,82,47.61,-122.19,50.0,6.93
192,Ondarroa,0,ES,1538764200,72,43.32,-2.42,69.8,3.36
193,Souillac,0,FR,1538762400,46,45.6,-0.6,73.4,5.82
194,Jumla,0,NP,1538764731,80,29.28,82.18,30.29,2.48
195,Port Blair,92,IN,1538764684,98,11.67,92.75,85.19,2.48
196,Malgrat de Mar,20,ES,1538764200,82,41.65,2.74,69.8,4.7
197,Praia da Vitoria,40,PT,1538762400,77,38.73,-27.07,68.0,29.77
198,Shimoda,75,JP,1538763180,94,34.7,138.93,71.6,3.36
199,Nome,90,US,1538763300,57,30.04,-94.42,89.96,12.75
200,Angol,0,CL,1538762400,46,-37.8,-72.71,71.6,5.82
201,Mareeba,75,AU,1538762400,88,-16.99,145.42,68.0,2.71
202,Careiro da Varzea,40,BR,1538762400,47,-3.2,-59.81,96.8,8.05
203,Avarua,75,CK,1538762400,64,-21.21,-159.78,75.2,10.29
204,Broome,0,GB,1538763600,93,52.47,1.45,62.24,4.7
205,Shache,64,CN,1538764553,52,38.42,77.24,53.96,3.71
206,Belyy Yar,20,RU,1538762400,93,53.6,91.39,37.4,2.82
207,Apastovo,75,RU,1538762400,80,55.2,48.51,41.0,13.42
208,Talnakh,100,RU,1538764767,90,69.49,88.39,40.37,24.52
209,Manado,20,ID,1538762400,94,1.49,124.85,71.6,1.12
210,Longyearbyen,90,NO,1538761800,92,78.22,15.63,24.8,8.05
211,Kaitangata,0,NZ,1538764773,71,-46.28,169.85,36.59,5.17
212,East London,0,ZA,1538762400,77,-33.02,27.91,64.4,10.29
213,Deming,1,US,1538763300,26,32.27,-107.76,80.96,11.41
214,Norman Wells,90,CA,1538762400,79,65.28,-126.83,24.8,3.49
215,Hovd,0,NO,1538763600,70,63.83,10.7,46.4,9.17
216,Lockhart,44,AU,1538762400,70,-35.22,146.72,48.2,6.93
217,Dzerzhinskoye,36,RU,1538764787,87,56.84,95.22,33.62,2.37
218,Mahebourg,20,MU,1538762400,69,-20.41,57.7,73.4,3.36
219,Bambous Virieux,20,MU,1538762400,69,-20.34,57.76,73.4,3.36
220,Santa Lucia,40,IT,1538762100,82,39.93,9.66,64.4,3.36
221,Ritchie,0,ZA,1538762400,64,-29.03,24.6,71.6,2.93
222,Matagami,88,NG,1538764798,95,9.67,8.4,69.89,3.04
223,Savannah Bight,92,HN,1538764802,100,16.45,-85.85,77.45,10.42
224,Sinnamary,0,GF,1538764788,81,5.38,-52.96,85.82,9.75
225,Udachnyy,24,RU,1538764807,72,66.42,112.4,21.47,3.15
226,Mount Gambier,8,AU,1538764809,86,-37.83,140.78,46.22,3.38
227,Faanui,44,PF,1538764811,100,-16.48,-151.75,78.53,11.21
228,Kimbe,0,PG,1538764814,100,-5.56,150.15,77.72,9.75
229,Moose Factory,1,CA,1538762400,51,51.26,-80.61,39.2,9.17
230,Grindavik,40,IS,1538762400,64,63.84,-22.43,33.8,13.87
231,Narsaq,75,GL,1538761800,42,60.91,-46.05,46.4,23.04
232,Cap Malheureux,20,MU,1538762400,69,-19.98,57.61,73.4,3.36
233,Sarangani,8,PH,1538764825,99,5.4,125.46,83.12,6.06
234,Goryachegorsk,0,RU,1538764827,78,55.41,88.92,27.77,2.15
235,Peace River,90,CA,1538762400,68,56.23,-117.29,28.4,8.05
236,Kuching,75,MY,1538762400,94,1.56,110.34,78.8,1.12
237,San Quintin,75,PH,1538762400,88,17.54,120.52,75.2,2.24
238,Seymchan,92,RU,1538764836,88,62.93,152.39,27.86,13.56
239,Novichikha,0,RU,1538764838,77,52.2,81.39,35.87,2.82
240,Les Cayes,92,HT,1538764731,100,18.19,-73.75,74.39,8.19
241,La Romana,40,DO,1538762400,83,18.43,-68.97,84.2,4.7
242,Atbasar,8,KZ,1538764845,33,51.81,68.36,55.76,12.66
243,Rurrenabaque,40,BO,1538762400,69,-14.44,-67.53,80.6,5.82
244,Sicamous,90,CA,1538762400,86,50.84,-118.99,39.2,1.7
245,Santa Vitoria do Palmar,0,BR,1538764853,86,-33.52,-53.37,58.37,15.68
246,Gernsheim,0,DE,1538763600,67,49.75,8.49,61.7,5.61
247,Usinsk,92,RU,1538764857,100,66.0,57.56,37.76,5.39
248,Fenoarivo,20,MG,1538762400,82,-18.93,47.44,62.6,12.75
249,Los Llanos de Aridane,75,ES,1538764200,73,28.66,-17.92,75.2,4.7
250,Lompoc,1,US,1538762280,73,34.64,-120.46,71.06,13.87
251,Dong Xoai,56,VN,1538764868,96,11.53,106.92,73.04,2.37
252,Viedma,0,AR,1538764870,37,-40.81,-62.99,69.89,15.57
253,Nanortalik,92,GL,1538764874,94,60.14,-45.24,39.11,9.64
254,Valdosta,40,US,1538762160,49,30.83,-83.28,89.6,3.36
255,Sakaiminato,75,JP,1538762400,83,35.55,133.23,71.6,3.36
256,Beya,24,RU,1538764883,97,53.05,90.92,35.24,3.6
257,Imbituba,75,BR,1538762400,59,-28.24,-48.67,66.2,12.75
258,Lexington,20,US,1538762100,65,38.05,-84.5,86.0,12.75
259,Cotonou,40,BJ,1538762400,88,6.37,2.43,80.6,10.29
261,Airai,8,TL,1538764899,69,-8.93,125.41,60.17,1.7
262,Aklavik,75,CA,1538762400,79,68.22,-135.01,24.8,8.05
263,Tpig,20,RU,1538764903,60,41.78,47.59,30.74,1.14
264,Nago,20,IT,1538761800,63,45.88,10.89,66.2,2.24
265,Cockburn Town,88,TC,1538764686,100,21.46,-71.14,80.33,10.98
266,Uchiza,68,PE,1538764912,77,-8.46,-76.46,77.99,2.59
267,Poso,12,ID,1538764914,100,-1.4,120.75,76.64,4.16
268,Alta,75,NO,1538763600,100,69.97,23.27,35.6,3.36
269,Blantyre,0,MW,1538764918,63,-15.79,35.0,71.06,10.2
270,Bestobe,12,KZ,1538764920,36,52.5,73.1,54.14,10.98
271,Almeirim,0,PT,1538762400,26,39.21,-8.63,80.6,10.29
272,Flinders,90,AU,1538762400,87,-34.58,150.85,51.8,8.05
273,Sete Lagoas,40,BR,1538762400,45,-19.47,-44.25,84.2,11.41
