,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
274,Dzhebariki-Khaya,88,RU,1538764929,95,62.22,135.8,30.11,2.59
275,Florianopolis,75,BR,1538762400,59,-27.6,-48.55,66.2,12.75
276,Atasu,0,KZ,1538764933,40,48.68,71.64,44.69,5.73
277,Kruisfontein,20,ZA,1538764935,80,-34.0,24.73,65.93,10.98
278,Port-Gentil,75,GA,1538762400,88,-0.72,8.78,80.6,11.41
279,Hamilton,75,BM,1538762100,74,32.3,-64.78,78.8,13.87
280,Wonthaggi,0,AU,1538764942,95,-38.6,145.59,47.84,2.93
281,Torbay,40,CA,1538762400,77,47.66,-52.73,64.4,14.99
282,Kurmanayevka,92,RU,1538764948,93,52.51,52.07,45.59,13.0
283,Quepos,75,CR,1538762400,93,9.43,-84.16,68.0,6.93
284,Hirara,92,JP,1538764952,100,24.8,125.28,76.37,1.7
285,Xining,88,CN,1538764955,98,36.62,101.77,31.1,2.59
286,Qaqortoq,75,GL,1538761800,42,60.72,-46.03,46.4,23.04
287,Iqaluit,75,CA,1538762400,64,63.75,-68.52,35.6,20.8
288,Lisala,36,CD,1538764961,97,2.15,21.52,72.95,3.04
289,Chicama,90,PE,1538762400,82,-7.84,-79.15,68.0,10.29
290,San Juan,0,AR,1538764969,34,-31.54,-68.53,79.88,6.73
291,Teya,75,MX,1538761740,59,21.05,-89.07,89.6,6.93
292,Vrangel,92,RU,1538764974,100,42.73,133.08,58.91,1.81
293,Port-Cartier,75,CA,1538762400,39,50.03,-66.88,46.4,12.75
294,Cairns,75,AU,1538762400,88,-16.92,145.77,68.0,3.15
295,Yaan,32,NG,1538764980,96,7.38,8.57,75.11,3.04
296,Weligama,80,LK,1538764982,100,5.97,80.42,77.9,8.41
297,Agueda,0,PT,1538762400,82,40.58,-8.44,62.6,9.17
298,Yar-Sale,64,RU,1538764986,93,66.83,70.83,48.11,15.46
299,Muros,0,ES,1538764200,48,42.77,-9.06,62.6,4.7
300,Dhar,40,IN,1538762400,78,22.6,75.31,75.2,2.24
301,Isiro,76,CD,1538764993,99,2.77,27.62,67.46,2.37
302,Benguela,0,AO,1538764995,92,-12.58,13.4,71.24,5.73
303,Madiun,32,ID,1538764997,94,-7.63,111.52,68.63,3.04
304,Vagur,48,FO,1538765000,100,61.47,-6.81,47.12,19.26
305,Turayf,40,SA,1538762400,27,31.68,38.65,75.2,6.93
306,Miranda de Ebro,0,ES,1538764200,52,42.69,-2.95,68.0,1.12
307,Tignere,44,CM,1538765008,93,7.37,12.65,69.17,3.6
308,Saldanha,0,PT,1538765010,39,41.42,-6.55,67.82,4.5
309,Capreol,90,CA,1538762400,60,46.71,-80.92,41.0,12.75
310,Seoul,90,KR,1538764200,82,37.57,126.98,66.2,10.29
311,Vargashi,20,RU,1538765017,49,55.36,65.85,55.31,13.67
312,Klaksvik,56,FO,1538763600,100,62.23,-6.59,42.8,12.75
313,Shenjiamen,88,CN,1538765021,96,29.96,122.3,72.14,31.12
314,Kursenai,90,LT,1538763600,93,55.98,22.92,53.6,12.75
315,Neuquen,0,AR,1538762400,25,-38.95,-68.06,71.6,13.87
316,Andros Town,20,BS,1538762400,58,24.73,-77.79,86.0,12.75
317,Longhua,40,CN,1538762400,93,29.21,106.21,64.4,2.82
318,Mount Isa,0,AU,1538762400,34,-20.73,139.49,68.0,6.93
319,Pevek,64,RU,1538764825,100,69.7,170.27,35.69,5.61
320,Newport,75,GB,1538763600,100,51.59,-3.0,62.6,4.7
321,Yokadouma,12,CM,1538765040,82,3.52,15.05,75.92,3.38
322,Thongwa,20,MM,1538764200,94,16.76,96.52,80.6,2.24
323,Merced,1,US,1538761980,63,37.3,-120.48,69.98,9.17
324,Swan Hill,0,AU,1538764991,79,-35.34,143.56,51.71,5.17
325,Ust-Tsilma,0,RU,1538765053,93,65.44,52.15,29.57,2.71
326,Dossor,0,KZ,1538765055,57,47.52,52.98,50.0,13.67
327,Tuatapere,8,NZ,1538764771,100,-46.13,167.69,42.71,5.84
328,Troitsko-Pechorsk,88,RU,1538765059,92,62.71,56.19,43.16,4.72
329,Chongwe,0,ZM,1538765061,32,-15.33,28.68,74.66,8.86
330,Ishigaki,92,JP,1538765063,100,24.34,124.16,78.89,6.17
331,Pustoshka,92,RU,1538765066,95,56.34,29.37,52.16,18.59
332,Nisia Floresta,75,BR,1538762400,65,-6.09,-35.21,82.4,17.22
333,Idah,48,NG,1538765070,92,7.11,6.73,77.54,4.5
334,Khani,75,GE,1538762400,87,41.96,42.96,55.4,6.93
335,Severo-Kurilsk,0,RU,1538765074,92,50.68,156.12,46.13,16.24
336,Sao Filipe,0,CV,1538765077,88,14.9,-24.5,82.4,9.31
337,Misratah,0,LY,1538765079,81,32.38,15.09,77.99,6.85
338,Bambanglipuro,8,ID,1538764870,98,-7.95,110.28,68.54,1.92
339,Ribeira Grande,40,PT,1538762400,64,38.52,-28.7,69.8,12.75
340,Dapitan,90,PH,1538762400,83,10.27,123.95,80.6,2.24
341,Constitucion,5,MX,1538761500,40,23.99,-104.67,71.6,5.82
342,Sabang,64,PH,1538765092,100,13.72,123.58,77.54,3.71
343,Ewa Beach,1,US,1538762220,76,21.32,-158.01,80.96,3.36
344,Lokosovo,32,RU,1538765099,66,61.13,74.84,53.51,9.98
345,Vestmannaeyjar,0,IS,1538761500,59,63.44,-20.27,37.4,25.28
346,Burriana,0,ES,1538764200,69,39.89,-0.08,73.4,6.93
347,Pauini,44,BR,1538765105,91,-7.71,-67.0,81.59,3.71
348,Porto Velho,32,BR,1538765108,81,-8.75,-63.87,84.92,3.15
349,Faya,0,SA,1538762400,19,18.39,42.45,71.6,11.41
350,Ilulissat,20,GL,1538761800,39,69.22,-51.1,28.4,6.93
351,Matadi,24,CD,1538765114,60,-5.83,13.46,83.84,8.75
352,Vardo,90,US,1538763300,61,39.62,-77.74,68.0,5.82
353,Coihaique,0,CL,1538762400,36,-45.58,-72.07,60.8,2.24
354,Kroya,12,ID,1538765121,91,-6.5,108.06,71.51,3.15
355,Vila Velha,40,BR,1538762400,62,-3.71,-38.6,84.2,17.22
356,Chhata,0,IN,1538765125,57,27.72,77.5,73.49,6.06
357,Half Moon Bay,75,US,1538762160,65,37.46,-122.43,68.0,3.36
358,Port Hedland,0,AU,1538764200,73,-20.31,118.58,73.4,10.29
359,Riyadh,0,SA,1538762400,12,24.63,46.72,86.0,7.85
360,Jablah,0,SY,1538762400,78,35.36,35.93,75.2,4.7
361,Podgornoye,64,RU,1538765136,58,57.79,82.64,53.06,6.51
362,Ous,68,RU,1538765138,91,60.91,61.52,40.28,2.48
363,Aksaray,0,TR,1538761800,50,38.37,34.03,55.4,21.92
364,Mercedes,0,UY,1538765143,58,-33.25,-58.03,68.54,6.17
365,Sapa,20,PH,1538762400,100,14.32,120.76,78.8,4.61
366,Tual,0,ID,1538765149,98,-5.67,132.75,80.33,5.73
367,Provideniya,92,RU,1538765151,97,64.42,-173.23,46.49,19.15
368,Lagoa,0,PT,1538764200,69,37.14,-8.45,73.4,5.82
369,Kamaishi,92,JP,1538765156,96,39.28,141.86,62.33,1.92
370,Banda Aceh,92,ID,1538765158,100,5.56,95.32,72.77,2.26
371,Gigmoto,56,PH,1538765161,100,13.78,124.39,77.27,4.38
372,Oranjemund,0,ZA,1538765163,92,-28.55,16.43,58.19,7.52
373,Muisne,0,EC,1538765165,68,0.61,-80.02,85.64,5.61
374,Mahibadhoo,92,MV,1538765168,100,3.78,72.97,81.59,26.42
375,Trojas,40,AL,1538763600,82,40.99,19.9,68.0,6.93
376,Oktyabrskiy,0,RU,1538762400,69,55.61,37.97,41.0,6.71
377,Palmer,90,US,1538764260,76,61.6,-149.11,48.92,5.82
378,Tottori,44,JP,1538765181,89,35.5,134.23,72.95,10.42
379,Shetpe,44,KZ,1538765183,62,44.14,52.16,52.52,8.97
380,Komsomolskiy,92,RU,1538765185,98,67.55,63.78,39.47,8.41
381,Carutapera,0,BR,1538765188,65,-1.2,-46.02,86.99,13.0
382,Ferrol,0,ES,1538764200,77,43.48,-8.23,62.6,3.36
383,Isangel,12,VU,1538765192,100,-19.55,169.27,72.77,5.95
384,Bilibino,68,RU,1538765194,97,68.06,166.44,31.19,2.26
385,Batagay-Alyta,88,RU,1538765198,91,67.8,130.41,20.93,2.82
386,Madras,20,US,1538763300,52,44.63,-121.13,46.94,13.87
387,Rovaniemi,0,FI,1538763600,92,66.5,25.72,32.0,10.29
388,Juayua,20,SV,1538761800,54,13.84,-89.75,87.8,5.82
389,Sovetskiy,56,RU,1538765214,73,56.76,48.47,37.94,12.1
390,Polyarnyy,75,RU,1538762400,87,69.2,33.45,32.0,2.24
391,Hwange,0,ZW,1538765218,25,-18.35,26.5,77.36,8.75
392,Kencong,8,ID,1538765220,87,-7.78,112.24,66.74,4.16
393,Pombas,0,BR,1538765222,54,-15.9,-54.74,93.11,4.38
394,Bilma,0,NE,1538765289,14,18.69,12.92,89.87,6.85
395,Tocopilla,88,CL,1538765227,86,-22.09,-70.2,66.29,5.73
396,Phalaborwa,0,ZA,1538762400,28,-23.95,31.14,68.0,6.93
397,Rivera,64,UY,1538765231,71,-30.9,-55.54,65.3,6.62
398,Kushima,88,JP,1538765234,100,31.5,131.29,75.02,19.48
399,Alyangula,0,AU,1538765236,100,-13.85,136.42,76.28,5.95
400,Mokhsogollokh,44,RU,1538765238,90,61.4,128.95,30.38,3.04
401,Inhambane,20,MZ,1538762400,64,-23.87,35.38,69.8,6.93
402,Labuhan,36,ID,1538765247,93,-2.54,115.51,74.12,2.15
403,Cidreira,0,BR,1538765250,74,-30.17,-50.22,65.75,9.64
404,Shubarkuduk,64,KZ,1538765252,88,49.15,56.49,45.5,14.23
405,Loiza,75,PR,1538762160,84,18.43,-65.88,80.96,4.7
406,Kupang,0,ID,1538765261,99,-10.16,123.6,76.73,10.98
407,Mongu,32,ZM,1538765263,17,-15.27,23.14,81.86,9.98
408,Padang,76,ID,1538765265,100,-0.92,100.36,79.97,4.61
409,Sechura,0,PE,1538765269,93,-5.56,-80.82,70.52,9.08
410,Coahuayana,8,MX,1538765271,80,18.62,-100.35,75.83,3.15
411,Jamame,80,SO,1538765276,74,0.07,42.75,79.43,11.32
412,Tricase,75,IT,1538762100,82,39.93,18.36,64.4,10.29
413,Solnechnyy,0,RU,1538765280,86,50.72,136.64,40.19,2.37
414,Xacmaz,68,AZ,1538765282,91,41.46,48.81,45.95,2.93
415,Manokwari,48,ID,1538765284,100,-0.87,134.08,81.32,7.18
416,Whithorn,75,JM,1538763300,94,18.26,-78.04,75.2,8.05
417,Ryotsu,8,JP,1538765289,94,38.08,138.43,72.14,3.71
418,Manzil Salim,20,TN,1538762400,59,35.86,8.48,62.6,4.7
419,Rakiv Lis,0,UA,1538765293,73,51.62,24.92,50.36,9.53
420,Aksarka,80,RU,1538765192,99,66.56,67.8,43.52,9.98
421,Orthez,0,FR,1538764200,49,43.49,-0.77,73.4,1.12
422,Nuuk,90,GL,1538761800,86,64.17,-51.74,39.2,4.7
423,Victor Harbor,0,AU,1538764200,87,-35.55,138.62,48.2,2.24
424,Jalu,88,LY,1538765309,26,29.03,21.55,87.44,4.72
425,Peniche,0,PT,1538764200,29,39.36,-9.38,78.8,12.75
426,Pahrump,1,US,1538762280,31,36.21,-115.98,75.92,4.7
427,Caravelas,0,BR,1538765315,100,-17.73,-39.27,77.72,12.33
428,Killybegs,88,IE,1538765318,97,54.63,-8.45,49.46,10.31
429,Caiaponia,32,BR,1538765320,90,-16.96,-51.81,86.72,8.75
430,Sumbe,0,AO,1538765322,93,-11.2,13.84,72.77,7.52
431,Elko,1,US,1538762160,58,40.83,-115.76,50.0,4.7
432,Mahon,75,IE,1538764200,70,51.89,-8.4,48.2,8.05
433,Presidencia Roque Saenz Pena,8,AR,1538765329,60,-26.79,-60.44,76.64,13.33
434,Tarko-Sale,56,RU,1538765331,74,64.92,77.78,50.36,15.12
435,Beloha,0,MG,1538765333,77,-25.17,45.06,70.16,6.29
436,Bathsheba,20,BB,1538762400,66,13.22,-59.52,87.8,17.22
437,Basoko,8,CD,1538765341,99,1.23,23.61,71.51,2.71
438,Ayan,0,TR,1538765344,82,40.67,33.6,40.46,2.71
439,Nyurba,0,RU,1538765348,85,63.29,118.35,23.09,2.71
440,Darnah,92,LY,1538765350,99,32.77,22.64,76.73,10.98
441,Puerto Colombia,40,CO,1538762400,66,10.99,-74.96,89.6,13.87
442,Moyale,56,ET,1538765354,71,3.52,39.05,72.14,4.16
443,Plettenberg Bay,0,ZA,1538765356,93,-34.05,23.37,65.03,9.19
444,Tres Arroyos,64,AR,1538765361,46,-38.38,-60.28,64.67,4.5
445,Ketchikan,40,US,1538762160,74,55.34,-131.65,53.06,5.82
446,Adrar,0,DZ,1538762400,17,27.87,-0.29,86.0,9.17
447,Paraiso,5,MX,1538761500,40,24.01,-104.61,71.6,5.82
448,Eureka,1,US,1538764500,72,40.8,-124.16,59.0,1.36
449,Calvinia,12,ZA,1538765374,24,-31.47,19.78,62.42,2.48
450,Okha,0,RU,1538765376,90,53.59,142.95,39.47,7.74
451,Poum,20,MK,1538762400,76,41.28,20.71,55.4,2.24
452,Kuala Terengganu,75,MY,1538762400,88,5.33,103.14,78.8,3.36
453,Reo,76,BF,1538765383,55,12.32,-2.47,87.53,4.61
454,Hofn,20,IS,1538762400,59,64.25,-15.21,33.8,25.28
455,Hervey Bay,76,AU,1538765387,97,-25.3,152.85,68.99,5.06
456,Santa Cruz de la Palma,75,ES,1538764200,73,28.68,-17.76,75.2,4.7
457,Aguie,0,NE,1538765391,41,13.51,7.78,87.17,5.95
458,Besao,36,PH,1538765393,88,17.1,120.86,66.11,2.71
459,Kieta,64,PG,1538765396,100,-6.22,155.63,77.45,4.72
460,Srikakulam,32,IN,1538765398,100,18.29,83.89,85.73,5.39
461,Dalvik,75,SE,1538763600,100,57.79,14.13,50.0,5.82
462,San Cristobal,75,EC,1538762400,63,-0.39,-78.55,60.8,17.22
463,Haines Junction,88,CA,1538765405,92,60.75,-137.51,29.12,2.71
464,Miandrivazo,0,MG,1538765407,46,-19.53,45.46,72.77,6.73
465,Mananjary,0,MG,1538765409,58,-19.16,46.8,62.78,5.95
466,Vuktyl,64,RU,1538765411,93,63.86,57.31,42.35,4.38
467,Tashla,40,RU,1538762400,80,53.71,49.75,41.0,11.18
468,Kahului,40,US,1538762160,74,20.89,-156.47,80.06,6.93
469,Owando,24,CG,1538765422,77,-0.49,15.91,79.7,3.15
470,Puerto Suarez,20,BO,1538762400,70,-18.96,-57.8,87.8,4.7
471,Kindu,48,CD,1538765426,91,-2.95,25.92,72.77,2.37
472,Locri,40,IT,1538762100,83,38.24,16.26,73.4,8.05
473,Nueva Germania,44,PY,1538765431,60,-23.91,-56.7,76.64,6.29
474,Itarema,24,BR,1538765433,60,-2.92,-39.92,87.62,16.58
475,Tisovec,0,SK,1538764200,93,48.68,19.94,46.4,1.12
476,Walvis Bay,75,NA,1538762400,87,-22.95,14.51,57.2,5.82
477,Libertador General San Martin,40,AR,1538762400,26,-23.81,-64.79,78.8,8.05
478,Berdigestyakh,48,RU,1538765444,85,62.1,126.7,26.87,3.38
479,Batemans Bay,92,AU,1538765446,97,-35.71,150.18,53.51,5.61
480,Waipawa,92,NZ,1538765448,88,-39.94,176.59,45.59,3.6
481,Naryan-Mar,0,RU,1538765450,100,67.67,53.09,32.18,9.42
482,Taunggyi,68,MM,1538765452,100,20.78,97.03,64.67,2.48
483,Ridgeland,1,US,1538764500,49,32.48,-80.98,91.94,2.71
484,Buala,12,SB,1538765458,98,-8.15,159.59,79.79,7.96
485,Shieli,0,KZ,1538765462,50,44.18,66.74,57.38,4.94
486,Lasa,20,CY,1538764200,64,34.92,32.53,78.8,5.82
487,Oranjestad,20,AW,1538762400,83,12.52,-70.03,80.6,6.93
488,Lazaro Cardenas,5,MX,1538761260,37,28.39,-105.62,84.2,5.82
489,Sorland,75,NO,1538761800,93,67.67,12.69,44.6,6.93
490,Veraval,0,FR,1538764200,67,49.65,0.71,60.8,8.05
491,Tefe,40,BR,1538762400,59,-3.35,-64.71,93.2,11.41
492,Katobu,0,ID,1538765477,99,-4.94,122.53,78.89,5.17
493,Ugoofaaru,88,MV,1538765481,100,5.67,73.0,79.97,22.28
494,Bluefield,90,US,1538763300,84,37.27,-81.22,79.16,4.7
495,Tortoli,40,IT,1538762100,82,39.93,9.66,64.4,3.36
496,Rimbey,75,CA,1538762400,52,52.64,-114.24,41.0,4.38
497,Oda,20,JP,1538765494,88,35.19,132.5,76.37,14.23
498,Kaitong,56,CN,1538765496,41,44.81,123.15,49.82,7.96
499,Sola,75,FI,1538763600,93,62.78,29.36,42.8,8.05
500,Eirunepe,68,BR,1538765501,65,-6.66,-69.87,88.61,2.93
501,Nador,0,MA,1538764200,78,35.17,-2.93,73.4,6.93
502,Barabinsk,0,RU,1538765505,50,55.35,78.35,50.81,10.76
503,Mangaratiba,90,BR,1538762400,64,-22.96,-44.04,73.4,8.05
504,Bonthe,56,SL,1538765510,91,7.53,-12.5,80.51,3.04
505,Atar,80,MR,1538765512,16,20.52,-13.05,99.86,3.94
506,Valdivia,0,CL,1538762400,55,-39.81,-73.25,66.2,2.24
507,Abay,0,KZ,1538762400,64,49.63,72.87,37.4,6.71
508,Guerrero Negro,0,MX,1538765521,65,27.97,-114.04,75.56,13.67
509,Mutoko,12,ZW,1538765523,49,-17.4,32.23,70.79,7.74
510,Anadyr,40,RU,1538762400,81,64.73,177.51,46.4,26.84
511,Buritizeiro,24,BR,1538765528,27,-17.37,-44.96,96.44,7.29
512,Socorro,0,PH,1538765530,100,13.06,121.41,72.05,2.93
513,Touros,20,BR,1538765337,68,-5.2,-35.46,83.39,15.01
514,Svay Rieng,76,KH,1538765534,96,11.08,105.8,76.64,1.59
515,Teacapan,0,MX,1538765536,61,22.54,-105.74,89.69,2.93
516,Lorengau,0,PG,1538765538,100,-2.02,147.27,82.04,5.06
517,Coruripe,36,BR,1538765541,90,-10.12,-36.18,80.24,13.33
518,Batsfjord,75,NO,1538763600,100,70.63,29.72,33.8,4.7
519,Worthington,90,US,1538763300,89,43.62,-95.6,50.0,9.17
520,Tuni,40,BO,1538762400,62,-16.67,-68.14,51.8,4.7
521,Salalah,40,OM,1538761800,88,17.01,54.1,78.8,2.24
522,Kovylkino,44,RU,1538765554,70,54.04,43.91,37.67,10.76
523,Virginia Beach,75,US,1538764140,70,36.85,-75.98,91.04,11.41
524,Vincennes,75,US,1538763300,81,38.68,-87.53,87.8,5.82
525,Dongzhen,56,CN,1538765560,86,43.33,129.73,40.01,2.15
526,Dauriya,80,RU,1538765562,71,49.93,116.85,36.59,9.75
527,Cayenne,0,GF,1538762400,55,4.94,-52.33,91.4,10.29
528,Truckee,75,US,1538763900,87,39.33,-120.18,55.94,3.04
529,Masaka,0,UG,1538765573,97,-0.34,31.75,72.59,7.4
530,Gizo,40,IL,1538763600,69,31.8,34.94,78.8,2.24
531,Zhoucheng,0,CN,1538765579,81,31.35,119.33,58.46,8.08
532,Dunedin,8,NZ,1538765582,89,-45.87,170.5,29.75,2.71
533,Batticaloa,88,LK,1538765584,100,7.71,81.69,76.37,3.04
534,Do Gonbadan,0,IR,1538762400,16,30.36,50.8,78.8,1.25
535,Saint-Denis,0,FR,1538764200,55,48.94,2.36,68.0,3.36
536,Tarpon Springs,75,US,1538764500,52,28.15,-82.76,91.4,4.7
537,Rocha,0,UY,1538765595,57,-34.48,-54.34,60.35,10.54
538,Krasnozatonskiy,75,RU,1538762400,100,61.68,50.98,37.4,6.71
539,Kokoda,32,PG,1538765599,99,-8.88,147.74,59.09,0.36
540,Verkhoyansk,80,RU,1538765602,98,67.55,133.39,23.18,2.59
541,Abu Samrah,36,SY,1538765604,38,35.3,37.18,75.2,8.63
542,Luganville,68,VU,1538765606,100,-15.51,167.18,78.35,10.42
543,Vanino,8,RU,1538765610,68,53.93,40.55,37.04,9.31
544,Barreiras,56,BR,1538765612,31,-12.14,-45.0,94.73,5.28
545,Chegdomyn,0,RU,1538765614,86,51.13,133.04,37.67,3.27
546,Tevaitoa,36,PF,1538765617,100,-16.78,-151.5,77.72,12.44
547,Huilong,0,CN,1538765619,78,28.89,110.18,50.09,2.15
548,Prince Rupert,1,CA,1538762400,71,54.32,-130.32,51.8,2.24
549,Eregli,0,TR,1538765625,70,37.51,34.05,52.07,1.59
